judul,Penulis,Pembimbing 1,Pembimbing 2,Abstrak,Abstract
,,,,,
,,,,,
,,,,,
IMPLEMENTASI PENJADWALAN MATA PELAJARAN SMPN 1 AMBUNTEN,Penulis : Fravasta F. Pratama,"Dosen Pembimbing I : Sigit Susanto Putro,S.Kom.,M.Kom.","Dosen Pembimbing II :Bain Khusnul Khotimah,S.T.,M.Kom.","Implementasi Penjadwalan Mata Pelajaran SMPN 1 Ambunten dibuat untuk membantu pihak sekolah bersangkutan yaitu asisten kurikulum. Asisten kurikulum dapat mengubah data dari penjadwalan mata pelajaran per-tahun, serta membuat jadwal ulangan maupun jadwal yang lain.Karena di dalam sekolah SMPN 1 Ambunten ini memungkinkan Asisten Kurikulum untuk mengubah data dari  penjadwalan, tapi masih menggunakan tabel di word ataupun excel. Sedangkan tujuan dari  Penelitian ini adalah untuk membantu mempercepat Asisten Kurikulum dalam melakukan penjadwalan. 
Penelitian ini bertujuan untuk membantu memperlancar tugas dari asisten kurikulum SMPN 1 Ambunten untuk menggerjakan penjadwalan. Dalam menyusun penjadwalan asisten kurikulum menggunakan aplikasi aSc TimeTables, karena sebelumnya masih manual menggunakan Microsoft word dan microsoft excel. Dan dalam penelitian ini menggunakan data penerapan kurikulum yang dipakai pada tahun 2013 - 2014.
Agar tujuan ini berhasil sesuai yang diinginkan maka digunakan aplikasi aSc TimeTables. Aplikasi aSc TimeTables memiliki kelebihan mudah dan cepat dalam memasukkan data semua mata pelajaran, kelas, ruang kelas, guru dan kontrak guru. aSc TimeTables memperhatikan beban kerja pengajar, serta memudahkan verifikasi jadwal. Dalam penerapan aplikasi banyak sekali keuntungan, seperti gampang menggenerate tinggal menunggu proses loading dari generate.

Kata Kunci : Implementasi, Penjadwalan, Asc Time Table
","Scheduling implementation of the lesson at SMPN 1 Ambunten Was made to help the school side that is curriculum assistant .Curriculum assistant can change the data form scheduling of the lesson each year, and making repeat schedule or otherschedules. Because in this school of SMPN 1 Ambunten enable curriculum assistant to change the data form scheduling, but it still using table in the word or excel. Meanwhile the goal of this last assignment (TA) is to help curriculum assistant to do schuling fastly.
This study intends to help facilitate the task of the assistant curriculum SMPN1 Ambunten to access a scheduling. In drawing up the curriculum using the scheduling assistant TimeTables ASC application, because the manual prior to use Microsoft Word and Microsoft Excel. And in this study used data application of the curriculum used in 2013-2014.
 An order to this goal is success fully appropriate needed so used aSc TimeTables Application.  ASc TimeTables application has strength likes easy and quick in entering the data all of the lesson, classes, classroom,teacher and the teachers contract. ASc TimeTables looking at working burden of teacher, and making easy schedule verification. In the implementation of applications many advantages, such as easy to generate just waiting for the loading process of generate.

Keywords: Implementation, Scheduling, Asc Time Table
"
,,,,,
DISASTER MANAGEMENT SYSTEM MENGGUNAKAN ALGORITMA GENETIKA BERBASIS ANDROID,Penulis : Hadi Wiranata Rachman,"Dosen Pembimbing I : M. Kautsar Sophan,S.Kom,M.MT","Dosen Pembimbing II :Riza Alfita, S.T, M.T","Penyusunan dan pembuatan aplikasi Disaster Management untuk Tsunami khususnya di kabupaten Lumajang dibuat untuk membantu tim penyelamat dalam proses evakuasi bencana tsunami. Dalam aplikasi yang telah dirancang tersebut, pengguna (SAR) dapat mengetahui informasi-informasi penting tentang kota Lumajang, khususnya tata letak posko-posko bencana alam yang ada dan juga dapat memberikan masukan berupa posisi SAR saat ini sehingga aplikasi dapat membentuk rute yang dapat dilewati oleh tim SAR. Tujuan dari Tugas Akhir ini adalah untuk membatu dalam memenuhi kebutuhan tim SAR dalam hal informasi rute dan tata letak posko yang ada di kota Lumajang. Agar tujuan ini berhasil dan sesuai dengan yang di inginkan maka aplikasi yang dibuat di bandingkan dengan aplikasi yang telah banyak orang kenal (Google Map). Google Map digunakan sebagai pembanding antara hasil rute yang dibentuk oleh aplikasi, dengan hasil rute yang dibentuk oleh Google Map. Dari proses pembandingan, didapatkan hasil rute yang hampir sama antara aplikasi yang dibuat dengan Google Map, akan tetapi didapatkan nilai jarak yang berbeda. Hal ini dikarenakan sistem yang dibuat menggunakan Algoritma Genetika sebagai penentu rute dan untuk perhitungan jarak menggunakan Haversine. Sedangkan Google Map menggunakan algoritma-nya sendiri dalam proses perhitungan jaraknya. Hasil dari jarak yang didapatkan oleh aplikasi, jarak tempuh dari Posko Kunir ke RSUD Lumajang berjarak 10.81 km. Sedangkan oleh Google Map didapatkan jarak sebesar 15.4 km.
","Preparation and making application to the Tsunami Disaster Management especially in Lumajang districts created to assist rescue teams in tsunami disaster evacuation process. In the application that has been designed, the user (SAR) can find out important information about the Lumajang city, especially post-post of natural disasters and also to provide input in the form of the current SAR position so that the application can establish a route that can be bypassed by SAR team. The purpose of this final project is to petrify the SAR team needs in terms of information and layout of the existing posts in Lumajang city. In order for this goal successfully and according to the desired application is made ??in comparison with apps that have a lot of people know (Google Map). Google Map is used as a comparison between the results that was formed by the application, with the result that was formed by the Google Map. Of the benchmarking process, the result is almost the same between the applications made by Google Map, but the obtained values ??of different distances. This is because the system is made ??using Genetic Algorithm as a determinant for the calculation of the route and distance using Haversine. While Google Map using its own algorithm in the process of calculating the distance .The results of the distance obtained by the application, the distance from Kunir post to hospitals Lumajang is 10.81 miles. Whereas by Google Map distance of 15.4 km obtained"
,,,,,
,,,,,
,,,,,
RANCANG BANGUN SISTEM PERAMALAN DISTRIBUSI BERAS MENGGUNAKAN METODE EXPONENTIAL SMOOTHING,Penulis : hendra pramana putra,"Dosen Pembimbing I : fika hastarita. S.T., M.Eng","Dosen Pembimbing II :bain khusnul khotimah, S.T., M.Kom","Salah satu komponen penting yang menunjang operasi perusahaan beras adalah 
kegiatan memprediksi jumlah beras yang dibutuhkan konsumen. Dengan prediksi 
yang baik dapat dibuat rencana kerja perusahaan lebih efektif dan efisien.  Proses 
pendistribusian juga harus tepat agar tidak terjadi penumpukan beras di gudang yang 
megakibatkan kwalitas beras menurun.  Selain itu  pemasukan beras  dan distribusi 
beras juga harus seimbang supaya terjadi keseimbangn dalam proses distribusi beras. 
Penelitian ini  mengidentifikasi pola distribusi beras  di BULOG kabupaten 
Pamekasan. agar  mendapatkan metode peramalan yang terbaik berdasarkan pola data 
pendistribusian beras. Selain itu sistem yang di buat juga mampu mendapatkan hasil 
peramalan  periode selanjutnya  sehingga dapat menjadi acuan dalam perencanaan 
strategi pendistribusian yang  diterapkan di Bulog  Kabupaten  Pamekasan.  Dalam 
proses pendistribusian  beras  Penentuan metode  exponential smooting  sebagai 
peramalan yang terbaik  dengan menggunakan data sebelumnya sebagai parameter 
masukan  dilakukan dengan  cara mengukur tingkat kesalahan  peramalan  dari 
penerapan  metode tersebut  dan di ketahui peramalan terbaik berada di  alpha  0.1 
dengan mengidentifikasi nilai Square Error  (SE) dan Percentage Error  (PE). Dapat 
diketahui melalui pencarian nilai rata-rata kesalahan sebesar 3.8%, yaitu menghitung 
Mean Square Error (MSE) dan Mean Absolute Percentage Error (MAPE). 
 
 Kata kunci:  Peramalan Pendistribusian, Exponential Smoothing, Mean Error (MSE) 
Mean Absolute Percentage Error (MAPE) ","One of urgent component that support operation of rice factory is activity of 
predicting amount of rice that needed by the consumers. By good prediction it can be 
made plan of works more effective and efisient. The process of distribution of rice has 
to be in the rigt ways in order not to be accumulation of the rice in the warehouse that 
can cause the quality of the rice dicrese. Bisede that the income and distribution of 
rice must also be balance in order to be also balence in the disteribution of it.  In this 
reseacch  that conducted in bulog office kabupaten  Pamekasan  has purpose to 
identifity rice distribution system in order getting the best prediction method based on 
data of rice distribution system and also getting result of prediction. So, it can be 
reference in strategy of distribution planning that was applied in bulog kabupaten 
Pamekasan. Bifore doing distribution process, rice were supplied from business 
partner as many as six. In rice distribution process determining exponential smooting 
method is as the bast prediction that was done by measuring error level of prediction 
from method application through searching average error was 3.8%. By accounting 
mean squere error (MSE) and mean absolute percentage error (MAPE).  
 
Keywords:  Distributions predictions, exponential smoothing, mean square error 
(MSE), Mean absolute percentage error (MAPE) "
,,,,,
"SISTEM PENDUKUNG KEPUTUSAN OPTIMASI PENJADWALAN MATAKULIAH UNTUK PENGGUNAAN RUANGAN KULIAH BERSAMA DI UNIVERSITAS TRUNOJOYO MADURA MENGGUNAKAN ALGORITMA  
GENETIKA",Penulis : Heri Supriyanto,"Dosen Pembimbing I : Mulaab, S.Si., M.Kom","Dosen Pembimbing II :Firli Irhamni, ST., M.Kom","Penjadwalan  kuliah  di  Perguruan  Tinggi  merupakan  masalah yang  kompleks.  Dalam  permasalahan tersebut  terdapat  beberapa variabel  yang  harus  dipertimbangkan  supaya  mendapatkan  jadwal  yang 
optimal. Di dalam penyusunan jadwal kuliah ini terdapat sangat banyak kemungkinan  yang  selayaknya  dicoba  untuk  menemukan  penjadwalan yang  terbaik.  Karena  itu  dibutuhkan  metode  optimasi  yang  dapat diterapkan  untuk  mengerjakan  penjadwalan  mata  kuliah  ini.  Metode yang  dapat  digunakan  untuk  menyelesaikan  permasalahan  tersebut adalah  dengan  menggunakan  Algoritma  Genetika.  Tugas  Akhir  ini 
bertujuan  untuk  membuat  suatu  sistem  yang  dapat  membuat  jadwal matakuliah  secara  otomatis  dan  hasilnya  optimal.  Dari  hasil  penelitian yang  dilakukan  algoritma  genetika  mampu  membuat  jadwal  dengan 
optimal  yang  dibuktikan  dari  nilai  fitness  yang memiliki  nilai  1  secara otomatis  jadwal  yang  dibentuk  akan  optimal.  Semoga  adanya  aplikasi ini  diharapkan  bisa  mempermudah  didalam  pembuatan  penjadwalan 
matakuliah dengan mudah dan cepat. 
 
Kata Kunci: Algoritma Genetika, Optimasi,  Penjadwalan.","Scheduling  courses  in  universities  is  a  complex  issue.  In these problems there are several variables that must be considered in order to obtain an optimal schedule. In the preparation of class schedules,  there  are  so  many  possibilities  that  should  be  tried  to 
find the best scheduling. Therefore required optimization methods that  can  be  applied  to  work  on  scheduling  this  course.  The method  can  be  used  to  solve  these  problems  is  to  use  a  Genetic Algorithm.  Final  Project  aims  to  create  a  system  that  can automatically create a course schedule and the results are optimal. From  the  results  of  research  on  the  genetic  algorithm  is  able  to make  a  schedule  with  a  proven  optimal  fitness  value has a  value of  1  is  automatically  set  up  a  schedule  that  would  be  optimal. Hopefully  this application  is  expected  to  ease  in  making scheduling easy and fast course. 
 
Keywords: Genetic Algorithms, Optimization, Scheduling."
,,,,,
,,,,,
,,,,,
"PENGENALAN TULISAN TANGAN HURUF ALFABET
DENGAN METODE MODIFIED DIRECTION FEATURE (MDF)
DAN LEARNING VECTOR QUANTIZATION (LVQ)",Penulis : Hilyati Safitri,"Dosen Pembimbing I : Fitri Damayanti S.Kom., M.Kom","Dosen Pembimbing II :Kurniawan Eka Permana S.Kom., M.Sc.","Pengenalan tulisan tangan merupakan topik penelitian yang sangat populer saat ini. Para peneliti telah banyak melakukan usaha-usaha untuk membuat sistem pengenalan tulisan tangan otomatis dengan berbagai teknik yang berbeda. Penelitian ini membahas pengembangan sistem pengenalan tulisan tangan offline yang menggunakan pencirian lokal dari karakter-karakter tulisan tangan. Salah satu faktor penentu dalam pengenalan tulisan tangan adalah model atau bentuk tulisan tangan dari penulis yang mampu dikenali. Tiap penulis pasti memiliki gaya menulis atau bentuk tulisan tangan yang berbeda. Metode yang digunakan untuk pengenalan pola tulisan tangan pada penelitian ini adalah Modified Direction Feature (MDF) untuk proses ekstraksi fitur dan Learning Vector Quantization (LVQ) untuk proses klasifikasi. Proses ekstraksi fitur pada metode MDF dilakukan dengan cara penentuan arah garis dan posisi  dari tiap-tiap piksel. Sedangkan untuk proses pelatihan data menggunakan  metode Learning Vector Quantization (LVQ), metode ini akan menghasilkan bobot yang akan digunakan untuk proses pengenalan citra huruf tulisan tangan. Dari uji coba yang dilakukan pada sistem, hasil terbaik untuk pengenalan citra huruf tulisan tangan diperoleh dengan jumlah data pelatihan sebanyak 260 citra dan data uji coba sebanyak 52 citra. Hasil akurasi sistem yang didapatkan sebesar 71,15 %.

Kata Kunci: Tulisan Tangan, Modified Direction Feature, Learning Vector Quantization","Handwriting recognition is a very popular research topic today. Researchers have made many efforts to create a system of automatic handwriting recognition with a variety of different techniques. This study discusses the development of offline handwriting recognition system that uses a local characterization of handwritten characters. A determining factor for handwriting recognition is a model or handwritten form of the people who is able to recognize. Each people must have a style of writing or handwriting of different shapes. The methods used for pattern recognition of handwriting in this study is the Modified Direction Feature (MDF) for the process of feature extraction and Learning Vector Quantization (LVQ) for classification process. The feature extraction process performed by the MDF method of determining the direction of the line and position of each pixel. As for the training process the data using the Learning Vector Quantization (LVQ), this method will result in weight to be used for image recognition process of handwritten letters. From experiments performed on the system, the best results for image recognition handwriting letter obtained by the number of training data and the data as much as 260 images in 52 image trials. System accuracy results obtained by 71.15%.

Keywords: Handwriting, Modified Direction Feature, Learning Vector Quantization"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
RANCANG BANGUN APLIKASI PEMILIHAN TEKNIK REKAYASA KEBUTUHAN MENGGUNAKAN METODE SELF ORGANIZING MAP BERBASIS EUCLIDEAN DISTANCE DAN CANBERRA DISTANCE MATRIX,Penulis : Lia Fransiska,"Dosen Pembimbing I : Firli Irhamni S.T, M.Kom","Dosen Pembimbing II :Budi Dwi Satoto S.T, M.Kom","Penyusunan Sistem Pendukung Keputusan pemilihan teknik rekayasa kebutuhan dibuat untuk membantu pengembang perangkat lunak dalam membangun sebuah proyek perangkat lunak. Pemilihan teknik rekayasa kebutuhan umumnya berdasarkan pada pilihan system dan analis yang bersangkutan daripada berdasarkan karakteristik teknik rekayasa kebutuhan yang sesuai pada proyek perangkat lunak tersebut. Untuk dapat menghasilkan perangkat lunak yang baik maka proses evaluasi dan pemilihan teknik rekayasa kebutuhan merupakan salah satu tahap yang sangat penting dalam sebuah proyek pengembangan perangkat lunak.
	Didalam SPK ini dilakukan proses pemilihan antara teknik rekayasa kebutuhan dan kriteria atribut project yang diinginkan oleh pengembang perangkat lunak. Selanjutnya dilakukan proses clustering menggunakan metode Self Organizing Map (SOM). Parameter yang digunakan dalam adalah distance matrix karena paling tepat digunakan untuk menangani data multi dimensional. Euclidean dan Canberra adalah jenis distance matrix yang lazim digunakan karena tingkat akurasinya yang baik untuk menangani kasus data riil.
Hasil akhir yang diperoleh yaitu membandingkan hasil clustering menggunakan metode SOM berbasis Euclidean Distance dan Canberra Distance matrix. Sehingga menghasilkan teknik rekayasa kebutuhan yang efisien, obyektif dan sesuai dengan karakteristik proyek perangkat lunak.
Kata Kunci : Sistem Pendukung Keputusan, Teknik Rekayasa Kebutuhan, Clustering, Self Organizing Map, Canberra Distance matrix","Preparation of Decision Support System selection requirements engineering techniques designed to help software developers in building a software project. The selection of requirements engineering techniques are generally based on the selection system and the analyst is concerned rather than based on the engineering characteristics of the corresponding requirements on the software project. To be able to produce good software, the process of evaluation and selection of requirements engineering techniques is one of the most important stages in a software development project.
DSS was performed in the selection process between requirements engineering techniques and criteria for project attributes desired by software developers. Clustering process is then performed using the Self Organizing Map (SOM). Parameters used in the distance matrix is most appropriate because the data used to handle multi-dimensional.
The final result is to compare the results obtained using the SOM-based clustering Euclidean Distance and Canberra Distance matrix to do some testing. So that the results obtained using the SOM-based clustering is more accurate than Euclidean Distance with Distance Canberra-based SOM.
Keyword : Decision Support Systems, Technique Requirement Engineering, Clustering, Self Organizing Map, Canberra Distance matrix
"
,,,,,
Sistem Pendukung Keputusan Penerimaan Siswa Baru Menggunakan Metode AHP (Analytical Hiearchy Process),Penulis : Lucia Dwi Agustin Nilla Indra Sakti,"Dosen Pembimbing I : Fika Hastarita Rachman S.Kom., M.Eng","Dosen Pembimbing II :Andharini Dwi Cahyani S.Kom., M.Kom","Kegiatan seleksi penerimaan siswa baru di Madrasah Ibtidaiyah Negeri Model Kamal Bangkalan yang telah berjalan masih memiliki kendala, yaitu lamanya proses memilih peserta dari hasil dipertimbangkan menjadi hasil diterima. Proses ini membutuhkan ketelitian dan kehati-hatian sebab peserta yang dipilih harus berkualitas sehingga memenuhi jumlah daya tampung yang ada. Proses ini merupakan penilaian subyektif dari seorang koordinator seleksi penerimaan siswa baru yang dilakukan secara manual. Oleh karena itu untuk memudahkan dan membantu pihak sekolah dalam kegiatan pemilihan penerimaan siswa baru didalam memilih peserta dari hasil dipertimbangkan menjadi diterima sebagai siswa maka perlu dibangun sebuah sistem pendukung keputusan yang terkomputerisasi yang dapat membantu proses penerimaan siswa dengan AHP. Analytical Hirearchy Process (AHP) digunakan untuk perhitungan bobot kriteria. Dari bobot kriteria yang sudah didapat maka dilakukan proses pengurutan peserta yang akan menentukan alternatif yang optimal, yaitu peserta terbaik. Dari hasil analisa diperoleh data perangkingan yang dihasilkan dari tiga kriteria yaitu tes, jarak rumah kesekolah dan usia
Kata kunci: Penerimaan siswa baru, SPK, AHP

","The selection of new admissions in the State Government Elementary School Bangkalan Kamal model that has run still has disadvantages, namely the length of the process of selecting the participants of the results considered to be acceptable results. This process requires precision and caution because participants were selected so that the quality must meet the amount of existing capacity. This process is a subjective assessment of a new admissions coordinator selection is done manually. Therefore to facilitate and assist the school in the election of a new student activities in selecting the participants of the results are considered to be accepted as a student it is necessary to built a computerized decision support system that can help the admissions process with AHP. Hirearchy Analytical Process (AHP) is used for the calculation of the criteria weights. Of weighting the criteria that have been obtained, the participants performed the sorting process that will determine the optimal alternative, the best participants. From the analysis of the data obtained by ranking the three criteria resulting from the test, the distance between home and school age 
Keywords: Admission of new students, Decision Support System, AHP
"
,,,,,
"IMPLEMENTASI PERFORMANCE PRISM 
UNTUK SISTEM PENGUKURAN KINERJA PERUSAHAAN",Penulis : Luhur Priyantoko Aji,"Dosen Pembimbing I : BAIN KHUSNUL KHOTIMAH, S.T., M.Kom.","Dosen Pembimbing II :Khamdi Mubarok, S.T., M.Eng.","Pengukuran kinerja adalah proses di mana organisasi menetapkan parameter hasil untuk dicapai oleh program, investasi, dan akusisi yang dilakukan. Dalam pengukuran kinerja perusahaan diperlukan indikator yang jelas sehingga bisa diketahui peningkatan atau penurunan indeks produktivitas yang menjadi tolak ukur perusahaan dalam mengukur kinerjanya. Pengukuran kinerja salah satunya diterapkan pada PT. Preshion Engineering Plastec Surabaya supaya  tetap  dapat menguasai  pasar  dan  mempertahankan  pelanggannya. Dengan menggunakan Performance Prism, metode ini mempertimbangkan semua kebutuhan dan keinginan dari semua stakeholder yang nantinya akan dijadikan dasar untuk menyusun Key Performance Indicators (KPI) kemudian KPI tersebut dibobotkan dengan ANP selanjutnya dilakukan scoring dengan Objective Matrix (OMAX) untuk mengetahui indeks produktivitas dari kinerja perusahaan. Hasil dari penelitian ini adalah dalam mengevaluasi kinerja PT Preshion Engineering Plastec Surabaya didapatkan 6 stakeholder dengan 19 subkriteria atau KPI. Dari 19 KPI tersebut, KPI Profit Growth  mendapatkan bobot normal paling tinggi yaitu 0,05307 dan KPI jumlah rapat bobotnya paling rendah yaitu 0,05262. Indeks produktivitas perusahaan pada tahun 2010 mengalami penurunan sebesar 0,29642 dari tahun 2009. Ini diakibatkan sebanyak 15 KPI pencapaiannya dibawah target. Namun untuk tahun 2011 indeks produktivitas perusahaan mengalami kenaikan dari tahun 2010 sebesar 0,420018.","Performance measurement is the process by which an organization sets the parameters for the results achieved by the program, investments, and acquisitions are done. In the measurement of company performance indicators clearly needed so they can know the increase or decrease in the productivity index benchmark in measuring the company's performance. Measuring the performance of one can be applied to the PT. Preshion Engineering PLASTEC Surabaya in order to remain able to dominate the market and retain customers. Using the Performance Prism, the method is to consider all the needs and desires of all stakeholders will be used as the basis to develop Key Performance Indicators (KPI) and KPI are weighted with ANP is then performed with Objective Scoring Matrix (OMAX) to determine the productivity index of the performance of the company . The results of this study is to evaluate the performance of PT Preshion Engineering PLASTEC Surabaya obtained six stakeholder with 19 subcriteria or KPI. Of the 19 KPI, the KPI Profit Growth highest gain normal weight is 0.05307 and the KPI number of meetings of the lowest weight is 0.05262. Productivity index in 2010 decreased by 0.29642 from 2009. This is caused by 15 KPI achievement below the target. However, for 2011 the company has increased the productivity index of the year 2010 amounted to 0.420018.

"
,,,,,
"Sistem  Informasi Perekomendasian Beasiswa Bagi Siswa Berprestasi Menggunakan Metode Simple Additive Weighting
(studi kasus: SMP Yayasan Pendidikan Sunan Dalem)
",Penulis : M Agus Firmansyah,"Dosen Pembimbing I : Moch. Kautsar Sophan, S.Kom.,M.MT.","Dosen Pembimbing II :Rika Yunitarini, ST., MT ","ABSTRAK

Pemilihan perekomendasian beasiswa untuk siswa terbaik secara periodik menjadi suatu proses yang lama dan rumit. Keputusan seseorang salah karena proses perekomendasian beasiswa berdasarkan nilai raport, dan nilai non akademis. Oleh karena itu diperlukan sistem pendukung keputusan untuk proses pemilihan beasiswa. Sistem pendukung keputusan ini, dapat menentukan nilai perhitungan terhadap semua kriteria. Sistem ini menggunakan metode Simple Additive Weighting (SAW). Metode ini merupakan suatu metode yang mencari penjumlahan terbobot. Pada studi kasus di sekolah Yayasan Sunan Dalem Desa Gumeno ini, terdapat 5 (lima) kriteria yaitu nilai raport, nilai Bahasa Inggris, Prestasi luar sekolah, Ekstrakulikuler dan Kepribadian, setiap alternatif (beasiswa murid) memiliki kriteria-kriteria tersebut. 
Dalam hal menentukan Perekomendasian beasiswa terbaik dilakukan dengan cara menjumlahan bobot dari rating kinerja pada setiap alternatif untuk semua atribut. Nilai yang lebih besar akan mengindikasikan bahwa alternatif lebih terpilih. Pada kasus tersebut metode SAW ini dapat menentukan siswa terbaik berdasarkan nilai tertinggi. Dengan demikian sistem ini mampu menangani perhitungan penilaian penerimaan beasiswa terbaik di SMP Yayasan Pendidikan Sunan Dalem Desa Gumeno sehingga (misal manajer guru/kepala sekolah) tidak mengalami kesulitan dalam menentukan siapa saja siswa yang direkomdasikan oleh sistem untuk mendapatkan beasiswa dengan nilai yang terbaik.

Kata kunci: Beasiswa, Simple Additive Weigting, Rapot, Prestasi","ABSTRACT

Selection scholarships  recommendation to the best students periodically be a long and complicated process. One wrong decision because the process recommendation based on the value of report cards, and non-academic value. Therefore we need a decision support system for the scholarships selection process. This decision support system, can determine the value of the calculation against all criteria. This system uses the Simple Additive Weighting method (SAW). This method is a method of searching for a weighted summation. In the case study in Sunan Dalem village school Gumeno Foundation, there are 5 (five) criteria, the value of report cards, grades in English, outside of school achievement, extracurricular and personality, Each alternative (scholarship student) have these criteria.
In terms of determining Perekomendasian best scholarship is done by enumerate weight of rating the performance of each alternative for all attributes. Larger value would indicate that the alternative is chosen. In the case of Simple Additive Weigting method can determine the best student based on the highest value. Thus the system is able to handle the assessment calculation recipients best in Sunan Dalem Gumeno junior high school education Foundation so (eg managers of teachers / principals) had no difficulty in determining who the students are recommended by the system to get a scholarship with the best value.

Keywords: Scholarship, Simple Additive Weigting, rapot, Achievement
"
,,,,,
"PERANCANGAN SISTEM INFORMASI PERENCANAAN PRODUKSI DAN PERSEDIAAN BAHAN BAKU TINTA MENGGUNAKAN METODE EOQ 
(ECONOMIC ORDER QUANTITY)
(Studi Kasus Di PT Inktech Indahmulya)
",Penulis : M. Arif Rahman,"Dosen Pembimbing I : Yeni Kustiyahningsih, S.Kom., M.Kom.","Dosen Pembimbing II :Heri Awalul Ilhamsyah, ST., MT.","Penelitian ini membahas tentang perancangan sistem informasi perencanaan produksi dan persediaan bahan baku tinta menggunakan metode EOQ (Economic Order Quantity) di PT. Inktech Indahmulya. Selama ini dalam menjalankan rencana produksi yang ada masih menggunakan perencanaan produksi secara sederhana dan didasarkan pengalaman produksi periode-periode sebelumnya, sehingga perusahaan belum mengetahui apakah rencana produksi yang diterapkan sudah optimal. Untuk dapat menentukan jumlah persediaan barang secara tepat, diperlukan pengetahuan untuk mengetahui berapa jumlah barang yang dibutuhkan tiap periode dengan melakukan peramalan. Metode peramalan yang digunakan adalah metode single exponential smoothing dan metode single moving average, metode ini digunakan untuk melakukan peramalan kebutuhan bahan baku pada periode selanjutnya. Hasil penelitian ini mengkonfirmasikan  untuk menentukan jumlah tinta PMG yang harus diproduksi konsisten menggunakan metode peramalan single exponential smoothing dengan nilai MSE berada pada 0,1. Nilai tersebut digunakan untuk menentukan jumlah material produksi yang dibutuhkan dengan menggunakan metode Economic Order Quantity (EOQ). Dari hasil uji coba sistem ini didapatkan hasil biaya persediaan terendah dan jumlah kebutuhan bahan baku yang  diperlukan untuk periode selanjutnya.","This study discusses the design of information systems planning and the production of raw materials supplies ink using the EOQ (Economic Order Quantity) at PT. Inktech Indahmulya. So far in implementing the production plan are still using simple production planning based production experience earlier periods, so the company has yet to determine whether the plan has been applied to optimal production. In order to determine the amount of inventory in a timely, necessary knowledge to know how many items required for each period in forecasting. Forecasting methods used are single exponential smoothing method and a single moving average method, this method is used to perform forecasting raw material needs for the next period. The results of this study confirm the PMG to determine the amount of ink that have produced consistently using single exponential smoothing forecasting method with MSE is at 0.1. This value is used to determine the amount of material required production using the Economic Order Quantity (EOQ). From the test results of the system obtained the lowest inventory cost and the amount of raw materials needed for the next period."
,,,,,
Penerapan Regular Expression Untuk Mengelompokkan Niche Blog,Penulis : Muhammad Darul Mukhlasin,"Dosen Pembimbing I : Firdaus Solihin S.Kom., M.Kom","Dosen Pembimbing II :Bain Khusnul Khotimah S.T., M.Kom","Internet merupakan kebutuhan pokok bagi banyak orang di era informasi. Informasi yang terdapat di internet sangat banyak. Search engine merupakan sistem yang mampu melakukan pencarian dan pengambilan informasi berdasarkan kata kunci yang dimasukkan oleh pengguna. Blog merupakan salah satu penyumbang informasi yang notabene dibuat oleh para blogger. Jumlah blogger di Indonesia semakin bertambah, berbanding lurus dengan jumlah informasi di internet. Dari kondisi tersebut diperlukan mekanisme mempercepat proses pengambilan informasi dari pemilahan blog berdasarkan kategori yang telah ditentukan sebelumnya. Web crawler aplikasi yang berfungsi mengambil informasi yang diperlukan dengan cara menjelajahi halaman situs blog kemudian disimpan dalam database. Proses pengambilan halaman web dilakukan pengecekan bahasa menggunakan regular expression dan daftar stopword untuk tujuh kategori yang ditentukan berdasarkan niche blog : tips dan trik komputer, kuliner nusantara, sepak bola, petualangan indonesia, kesehatan Ibu dan anak, handphone dan gadget, fashion wanita. Niche blog adalah aktivitas blogging yang dilakukan oleh para blogger untuk membuat blog bertopik spesifik. Dengan mengaplikasikan konsep web crawler, penelitian ini mampu menentukan niche blog sesuai dengan tujuh kategori yang telah ditentukan dengan mengujikan 10 kata kunci dan daftar stopword. Dari hasil ujicoba, dapat diambil kesimpulan penggunaan 3 kunci mendapatkan hasil paling maksimal.
Keywords: Niche Blog, Regular Expression, Web Crawler, Search Engine
 ","ABSTRACT
Internet is a basic requirement for many people in the information age . The information contained on the internet is very huge. Search engine is a system that is able to perform search and retrieval of information based on the keywords entered by the user . Blog is one of the contributors of information which is actually made by the blogger . The number of bloggers is increasing in Indonesia. This is directly proportional to the amount of information on the internet . This conditions needed a mechanism to accelerate the process of sorting the blog information retrieval based on a pre-determined categories . Web crawler application that serves the information they need by exploring the blog page of the site is then stored in a database . The process of making a web page to be checked using the regular expression language and stopword list for the seven categories defined by niche blog : tips and tricks of computer , culinary , soccer , adventure , mother and child health , mobile phones and gadgets , and ladies' fashion.  Niche blogs are blogging activities undertaken by the bloggers to create blogs with specific stubs . By applying the concept of web crawlers , this study was able to determine the appropriate blog niche with seven categories that have been determined by testing out of 10 keywords and a list of stopwords . From the test results , it can be concluded uses 3 keys to get the maximum results .
.

Keywords: Niche Blog, Regular Expression, Web Crawler, Search Engine
 "
,,,,,
,,,,,
